16 4
1 1 -2.093567592391566
1 2 -2.2050531168427
1 3 4.77240111295804
1 4 -1.4258604079517112
2 1 3.649478922237562
2 2 -3.6937561455917827
2 3 2.7025405741682027
2 4 -3.056969542967222
3 1 -0.5660826780438902
3 2 5.732200395820166
3 3 0.3197708973185769
3 4 -4.678651460683255
4 1 0.9377919524630607
4 2 -1.2167827701613556
4 3 -4.35263678389808
4 4 8.110203125111687
1 5 0.13220927175007552
2 6 0.1803516376576644
3 7 0.2759856597428012
4 8 0.203463608453351
5 5 -3.8522149960933834
5 6 6.555497941780424
5 7 -0.21022082790501795
5 8 0.7717644986368515
6 5 0.839099300200692
6 6 -4.360711024955919
6 7 -0.8994744663643794
6 8 3.9593066362476637
7 5 -3.2331108828055446
7 6 -0.16254190708209482
7 7 5.168208087148292
7 8 1.1795564352880097
8 5 7.249118461904777
8 6 -0.9793992037416923
8 7 -3.010809711088025
8 8 -4.909470917176664
5 9 0.1760707934646785
6 10 0.24781240531332
7 11 0.01100347843541063
8 12 0.24624410268023225
5 3 0.2008809725202865
5 4 0.287846711276612
6 3 0.25199167782364695
6 4 0.2826528308162782
7 3 0.045916314432686664
7 4 0.1936082901682943
8 3 0.125487461037205
8 4 0.06931267664776926
9 9 2.5988098000333886
9 10 -1.050860308247705
9 11 -2.9014556312004154
9 12 0.8586685916508991
10 9 -4.77083913083318
10 10 7.852931143399831
10 11 -4.965258863397844
10 12 0.5213856091770099
11 9 3.685156513288582
11 10 -1.014735242466985
11 11 3.627735848971069
11 12 -4.317102419253306
12 9 -2.6811847852030084
12 10 -2.104698125274035
12 11 1.7286211602785617
12 12 5.703811118963821
9 13 0.018236186174526624
10 14 0.11849857630500857
11 15 0.23831703140954286
12 16 0.14436691423758896
9 7 0.02703438801438307
9 8 0.22166625541075535
10 7 0.2306695717924906
10 8 0.03394734724127677
11 7 0.2965022218441271
11 8 0.10609538071995603
12 7 0.13783747533128504
12 8 0.04732304340685591
13 13 1.5166348719769116
13 14 -0.20570188675529166
13 15 -8.201848362310384
13 16 2.427695904810078
14 13 -3.336520800047745
14 14 1.2049389061455098
14 15 -0.09609079099316276
14 16 2.6212051224875235
15 13 1.4286865071833237
15 14 4.632491922826215
15 15 3.012742876519995
15 16 -6.521587397282254
16 13 1.1407830636603433
16 14 -2.7354289979862694
16 15 6.353118647939489
16 16 0.8314528339048226
13 11 0.16617617272087307
13 12 0.29960983817684583
14 11 0.12526777921136573
14 12 0.03568148534888775
15 11 0.04350778718751116
15 12 0.2194597123439686
16 11 0.007663085796679336
16 12 0.20545965221121837
